
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

1        69.72       1.05  3.175E-008  4.554E-008 4.535E-009 6.505E-009
584      8.379      1.164     0.3466      4.136    0.3468     4.138
590      8.379      1.164     0.3466      4.136    0.3468     4.138
593      8.379      1.164     0.3466      4.136    0.3468     4.138
594      8.379      1.164     0.3466      4.136    0.3468     4.138
599      8.379      1.164     0.3466      4.136    0.3468     4.138
601       8.38      1.164     0.3466      4.136    0.3468     4.138
602       8.38      1.164     0.3466      4.136    0.3468     4.138
605       8.38      1.164     0.3466      4.136    0.3468     4.138
608       8.38      1.164     0.3466      4.136    0.3468     4.138
609       8.38      1.164     0.3466      4.136    0.3468     4.138
610       8.38      1.164     0.3466      4.136    0.3468     4.138
611       8.38      1.164     0.3466      4.136    0.3468     4.138
612       8.38      1.164     0.3466      4.136    0.3468     4.138
615       8.38      1.164     0.3466      4.136    0.3468     4.138
617       8.38      1.164     0.3466      4.136    0.3468     4.138
619       8.38      1.164     0.3466      4.136    0.3468     4.138
622       8.38      1.164     0.3466      4.136    0.3468     4.138
626       8.38      1.164     0.3466      4.136    0.3468     4.138
627       8.38      1.164     0.3466      4.136    0.3468     4.138
628       8.38      1.164     0.3466      4.136    0.3468     4.138
631       8.38      1.164     0.3466      4.136    0.3468     4.138
632       8.38      1.164     0.3466      4.136    0.3468     4.138
635       8.38      1.164     0.3466      4.136    0.3468     4.138
636       8.38      1.164     0.3466      4.136    0.3468     4.138
637       8.38      1.164     0.3466      4.136    0.3468     4.138
400      8.379      1.164     0.3466      4.136    0.3468     4.138
401      8.379      1.164     0.3466      4.136    0.3468     4.138
408      8.379      1.164     0.3466      4.136    0.3468     4.138
413      8.379      1.164     0.3466      4.136    0.3468     4.138
415      8.379      1.164     0.3466      4.136    0.3468     4.138
417      8.379      1.164     0.3466      4.136    0.3468     4.138
427      8.379      1.164     0.3466      4.136    0.3468     4.138
429      8.379      1.164     0.3466      4.136    0.3468     4.138
430      8.379      1.164     0.3466      4.136    0.3468     4.138
436      8.379      1.164     0.3466      4.136    0.3468     4.138
440      8.379      1.164     0.3466      4.136    0.3468     4.138
446      8.379      1.164     0.3466      4.136    0.3468     4.138
447      8.379      1.164     0.3466      4.136    0.3468     4.138
450      8.379      1.164     0.3466      4.136    0.3468     4.138
456      8.379      1.164     0.3466      4.136    0.3468     4.138
457      8.379      1.164     0.3466      4.136    0.3468     4.138
461      8.379      1.164     0.3466      4.136    0.3468     4.138
462      8.379      1.164     0.3466      4.136    0.3468     4.138
468      8.379      1.164     0.3466      4.136    0.3468     4.138
472      8.379      1.164     0.3466      4.136    0.3468     4.138
473      8.379      1.164     0.3466      4.136    0.3468     4.138
480      8.379      1.164     0.3466      4.136    0.3468     4.138
481      8.379      1.164     0.3466      4.136    0.3468     4.138
482      8.379      1.164     0.3466      4.136    0.3468     4.138
487      8.379      1.164     0.3466      4.136    0.3468     4.138
490      8.379      1.164     0.3466      4.136    0.3468     4.138
491      8.379      1.164     0.3466      4.136    0.3468     4.138
497      8.379      1.164     0.3466      4.136    0.3468     4.138
498      8.379      1.164     0.3466      4.136    0.3468     4.138
500      8.379      1.164     0.3466      4.136    0.3468     4.138
503      8.379      1.164     0.3466      4.136    0.3468     4.138
511      8.379      1.164     0.3466      4.136    0.3468     4.138
512      8.379      1.164     0.3466      4.136    0.3468     4.138
517      8.379      1.164     0.3466      4.136    0.3468     4.138
518      8.379      1.164     0.3466      4.136    0.3468     4.138
525      8.379      1.164     0.3466      4.136    0.3468     4.138
527      8.379      1.164     0.3466      4.136    0.3468     4.138
533      8.379      1.164     0.3466      4.136    0.3468     4.138
535      8.379      1.164     0.3466      4.136    0.3468     4.138
536      8.379      1.164     0.3466      4.136    0.3468     4.138
540      8.379      1.164     0.3466      4.136    0.3468     4.138
542      8.379      1.164     0.3466      4.136    0.3468     4.138
545      8.379      1.164     0.3466      4.136    0.3468     4.138
544      8.379      1.164     0.3466      4.136    0.3468     4.138
546      8.379      1.164     0.3466      4.136    0.3468     4.138
547      8.379      1.164     0.3466      4.136    0.3468     4.138
549      8.379      1.164     0.3466      4.136    0.3468     4.138
552      8.379      1.164     0.3466      4.136    0.3468     4.138
554      8.379      1.164     0.3466      4.136    0.3468     4.138
559      8.379      1.164     0.3466      4.136    0.3468     4.138
565      8.379      1.164     0.3466      4.136    0.3468     4.138
571      8.379      1.164     0.3466      4.136    0.3468     4.138
575      8.379      1.164     0.3466      4.136    0.3468     4.138
576      8.379      1.164     0.3466      4.136    0.3468     4.138
579      8.379      1.164     0.3466      4.136    0.3468     4.138
580      8.379      1.164     0.3466      4.136    0.3468     4.138
581      8.379      1.164     0.3466      4.136    0.3468     4.138
583      8.379      1.164     0.3466      4.136    0.3468     4.138
587      8.379      1.164     0.3466      4.136    0.3468     4.138
589      8.379      1.164     0.3466      4.136    0.3468     4.138
592      8.379      1.164     0.3466      4.136    0.3468     4.138
595      8.379      1.164     0.3466      4.136    0.3468     4.138
596      8.379      1.164     0.3466      4.136    0.3468     4.138
606      8.379      1.164     0.3466      4.136    0.3468     4.138
529      8.379      1.164     0.3466      4.136    0.3468     4.138
534      8.379      1.164     0.3466      4.136    0.3468     4.138
537      8.379      1.164     0.3466      4.136    0.3468     4.138
538      8.379      1.164     0.3466      4.136    0.3468     4.138
507      8.379      1.164     0.3466      4.136    0.3468     4.138
374      8.379      1.164     0.3466      4.136    0.3468     4.138
375      8.379      1.164     0.3466      4.136    0.3468     4.138
377      8.379      1.164     0.3466      4.136    0.3468     4.138
378      8.379      1.164     0.3466      4.136    0.3468     4.138
382      8.379      1.164     0.3466      4.136    0.3468     4.138
385      8.379      1.164     0.3466      4.136    0.3468     4.138
387      8.379      1.164     0.3466      4.136    0.3468     4.138
389      8.379      1.164     0.3466      4.136    0.3468     4.138
390      8.379      1.164     0.3466      4.136    0.3468     4.138
398      8.379      1.164     0.3466      4.136    0.3468     4.138
402      8.379      1.164     0.3466      4.136    0.3468     4.138
403      8.379      1.164     0.3466      4.136    0.3468     4.138
405      8.379      1.164     0.3466      4.136    0.3468     4.138
409      8.379      1.164     0.3466      4.136    0.3468     4.138
421      8.379      1.164     0.3466      4.136    0.3468     4.138
422      8.379      1.164     0.3466      4.136    0.3468     4.138
431      8.379      1.164     0.3466      4.136    0.3468     4.138
433      8.379      1.164     0.3466      4.136    0.3468     4.138
